id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
d22pEbYKJycZzug2W4oY,sábado,14:59:45.334000,"15:05:30,551","15:05:41,575","15:05:48,286",Tarjeta,
GfsrPv5QloxBft8T9f2z,sábado,14:24:05.607000,"14:24:08,000","14:24:27,402","14:24:42,849",efectivo,
zL0wggXkCjO0jjqFYNS3,sábado,14:05:48.085000,"14:06:09,595","14:06:37,489","14:06:56,212",efectivo,
rM2wRAIzZfKZ6aCYK1gN,sábado,13:01:58.364000,"13:07:08,672","13:08:13,742","13:08:35,687",Tarjeta,Pedido de 7 personas
rNot0R9pDHKy3CaRajse,sábado,12:06:27.124000,"12:08:59,281","12:09:02,299","12:09:04,482",efectivo,Se demoró la atención porque la de caja estaba apoyando en cocina 
rtDhoq3GgkQlKJomymRb,sábado,14:17:31.782000,"14:17:39,051","14:17:49,718","14:17:58,201",Tarjeta,
s3VhWCx2ckQiiPXWkiO6,sábado,12:42:37.930000,"12:42:40,414","12:42:48,645","12:42:50,579",efectivo,
G0wbH2TBWiolZX4xJkZa,sábado,12:49:53.208000,"12:51:45,271","12:51:48,290","12:51:53,426",Tarjeta,
d2rRnBCDeFpZPMjJQLmE,sábado,14:48:01.858000,"14:49:45,619","14:49:55,810","14:50:07,041",efectivo,
FoRG91Z36s3ijM0hLH9L,sábado,13:40:35.890000,"13:41:03,448","13:41:14,689","13:41:25,816",efectivo,
sVt7U3gOVorYSa4bc8RN,sábado,13:37:25.082000,"13:37:25,913","13:37:47,264","13:38:35,063",Tarjeta,
2P8KRRtvD4G6SuTlAvv6,sábado,12:50:55.200000,"12:51:54,911","12:52:07,387","12:52:10,774",efectivo,
tYymxJ8985QfM2YCVnmY,sábado,13:13:13.601000,"13:13:59,826","13:14:15,304","13:14:28,410",efectivo,
spt2Aqb0vHpUDbnQKT9j,sábado,13:05:10.617000,"13:09:36,886","13:09:40,490","13:09:58,616",Tarjeta,
FNSG526n3f3gUEP81nNW,sábado,12:19:31.263000,"12:19:38,637","12:19:57,336","12:20:11,659",efectivo,
FIb2ALXUMUTrsdwqbs9y,sábado,14:26:05.001000,"14:26:31,373","14:26:55,522","14:27:25,345",Tarjeta,
